time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-06-19 22:29:00.301 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1529447340081, , , , ,3145728, , , , ,3,3,9,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , ,2,194,9,163,102475208,6, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-19 22:29:00.422 UTC, ,125,3162805,1056,16952, , ,4, ,9, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340081, , , , ,3145728, , , , ,7,4,15,4,2,4, , ,3,4, , , , , , , , , , , ,4096,2,535,4, , , , , , , , ,115103680,6, , , , , , ,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,2,2, , , , , , , 
2018-06-19 22:29:00.489 UTC, ,125,3159069,1056,13216, , ,3, ,22,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,20,8, , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,34,34, , , , , ,1,39, , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,100818,27, , , , , , ,2,194,9,163,138502112,6, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-19 22:30:00.494 UTC, ,125,3170229,1696,23560,816, ,4, ,40,1,0,03, , , , , , , ,4,4, , , ,2,2,4, ,16,1, , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , ,3,6,7,30,7,3,7, , ,3,9, , , ,3,1, , , , , , ,10286,6,827,7, , , , , , ,1,19,231466728,3, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,5,4,28, , , , , , , 
2018-06-19 22:31:00.496 UTC, ,125,3180693,1800,34024,816, ,5, ,302, , , , , , , , , ,5,5, , , ,2,3,5, , , , , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , , ,22,99,593,99, ,99, , ,3,103, , , , ,1, , , , , , , , ,10961,99, , , , ,3,1448,31,1562,767796920,5, , , , , , ,697, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,99, ,408,190,8080, , , , , , , 
2018-06-19 22:32:00.497 UTC, ,589,3185093,1800,37960,816, ,6, ,119, , , , , , , , , ,6,5, , , ,2,4,5, , , , , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , , ,16,39,308,39, ,39, , ,3,42, , , , ,1, , , , , , , , ,12538,39, , , , ,1,1494,28,1421,814533048,5, , , , , , ,311, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39, ,193,79,3852, , , , , , , 
2018-06-19 22:33:00.500 UTC, ,589,3188117,1800,40984,816, ,6, ,110, , , , , , , , , ,6,5, , , ,2,4,5, , , , , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , , ,18,37,236,37, ,37, , ,3,40, , , , ,1, , , , , , , , ,4033,37, , , , ,1,1105,33,1781,1009093736,5, , , , , , ,294, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,37, ,184,73,3676, , , , , , , 
2018-06-19 22:34:00.502 UTC, ,589,3191677,1800,44544,816, ,7, ,98, , , , , , , , , ,7,5, , , ,2,5,5, , , , , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , , ,15,32,209,32, ,32, , ,3,35, , , , ,1, , , , , , , , ,10958,32, , , , , , ,35,1467,1133002496,5, , , , , , ,255, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32, ,158,65,3171, , , , , , , 
2018-06-19 22:35:00.507 UTC, ,589,3192685,1800,45552,816, ,7, ,72, , , , , , , , , ,7,5, , , ,2,5,5, , , , , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , , ,13,24,184,24, ,24, , ,3,27, , , , ,1, , , , , , , , ,2616,24, , , , ,1,2069,30,1373,1053614128,6, , , , , , ,192, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24, ,120,48,2410, , , , , , , 
2018-06-19 22:36:00.511 UTC, ,589,3194701,1800,47568,816, ,7, ,63, , , , , , , , , ,7,5, , , ,2,5,5, , , , , , , , , , , , , , , , ,2910,2, ,1819, , , , , ,35,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1529447340453, , , , ,3145728, , , , ,21,21,150,21, ,21, , ,3,24, , , , ,1, , , , , , , , ,2289,21, , , , , , ,29,1321,1084814736,6, , , , , , ,168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, ,105,42,2148, , , , , , , 
